name,city,state,country,address,Longitude,Latitude,Municipalities,Website
BE-9920 Gemeentelijke begraafplaats,Lovendegem, Vlaanderen, Belgium,"28 Molenslag Lovendegem, Oost-Vlaanderen, Vlaanderen Belgium",3.6255655136414,51.085652315938, Oost-Vlaanderen,
BE-war Aux Mortes,Koksijde, Vlaanderen, Belgium,"Veurnekeiweg Koksijde, West-Vlaanderen, Vlaanderen Belgium",2.7110951018524,51.107946110794, West-Vlaanderen,
BE-6440 Fourbechies,Froidchapelle, Wallonie, Belgium,"17 Rue de Fourbechies Froidchapelle, Hainaut, Wallonie, 6440 Belgium",4.307043119049,50.16399058359, Hainaut,
BE-9900 Eeklo (Stedelijke Begraafplaats),Eeklo, Vlaanderen, Belgium,"1 Kerkhofweg Eeklo, Oost-Vlaanderen, Vlaanderen, 9900 Belgium",3.5538858306885,51.18878051934, Oost-Vlaanderen,
BE-9870 Begraafplaats,Zulte, Vlaanderen, Belgium,"68 Herdersstraat Zulte, Oost-Vlaanderen, Vlaanderen Belgium",3.4560309999999,50.940480915767, Oost-Vlaanderen,
BE-6280 Villers-Poterie,Gerpinnes, Wallonie, Belgium,"11-15 Rue des Cypr�s Gerpinnes, Hainaut, Wallonie, 6280 Belgium",4.5516799617735,50.354959017091, Hainaut,
BE-6280 Gougnies,Gerpinnes, Wallonie, Belgium,"57 Rue du Bas-Sart Gerpinnes, Hainaut, Wallonie, 6280 Belgium",4.578438,50.357925, Hainaut,
BE-6440 Froidchapelle,Froidchapelle, Wallonie, Belgium,"2-10 Rue de la Pierraille Froidchapelle, Hainaut, Wallonie, 6440 Belgium",4.3363262380981,50.148477499226, Hainaut,
BE-6250 Presles,Aiseau-Presles, Wallonie, Belgium,"9 Rue Haute Aiseau-Presles, Hainaut, Wallonie, 6250 Belgium",4.5783812617665,50.388081932083, Hainaut,
BE-6280 Acoz (Gerpinnes),Gerpinnes, Wallonie, Belgium,"25-39 Rue de la Scav�e Gerpinnes, Hainaut, Wallonie, 6280 Belgium",4.5234621865081,50.358185775769, Hainaut,
